Total Number of Runs,Train Split Ratio,Run#,Accuracy (Best IG),Accuracy (Top 3 IG),Accuracy (Best Gini),Accuracy (Top 3 Gini),Training Time (Best IG),Training Time (Top 3 IG),Training Time (Best Gini),Training Time (Top 3 Gini)
20,40,1,89.3925,81.8708,87.4638,83.703,4390,2607,1558,2226
20,40,2,87.6567,80.81,86.1138,76.8563,2229,3004,2023,3257
20,40,3,90.9354,79.1707,90.9354,82.4494,2388,2891,1541,2704
20,40,4,88.1389,80.3279,88.1389,76.6635,1454,2832,2102,2479
20,40,5,88.4282,77.5313,88.4282,81.9672,1475,3289,1585,3345
20,40,6,87.7531,74.4455,87.946,79.46,1596,3197,2608,2349
20,40,7,87.7531,79.5564,89.296,78.3028,2493,2806,1536,2698
20,40,8,88.8139,80.9065,88.9103,84.2816,1711,2379,1543,3073
20,40,9,90.1639,80.0386,90.1639,77.6278,2465,2503,1552,3157
20,40,10,88.0424,78.4957,88.0424,75.3134,1745,2276,2110,2130
20,40,11,90.0675,79.1707,90.0675,76.4706,1566,2635,1493,2569
20,40,12,87.5603,79.9421,89.5853,81.6779,1658,2930,1987,2992
20,40,13,87.5603,84.0887,87.7531,81.7743,1586,2449,2084,3214
20,40,14,87.7531,76.567,87.7531,82.0636,1568,2527,1605,2196
20,40,15,90.1639,82.4494,90.1639,82.8351,1509,2333,1470,2231
20,40,16,88.1389,80.5207,87.946,86.2102,1837,2696,1494,2684
20,40,17,89.296,80.0386,89.296,82.0636,2033,3080,1348,2787
20,40,18,89.4889,79.3635,89.6818,80.5207,1495,2535,1543,2598
20,40,19,89.3925,78.1099,89.3925,83.8959,1488,2515,1713,2204
20,40,20,89.296,82.5458,89.5853,81.4851,1444,2322,1505,2023
20,50,1,92.0139,80.0926,90.7407,85.5324,3129,3422,2142,2440
20,50,2,90.9722,83.5648,90.9722,79.1667,2046,3428,1811,3727
20,50,3,88.4259,76.8519,88.4259,84.2593,2745,4180,2050,2861
20,50,4,92.2454,78.588,91.2037,74.537,2815,3264,1904,2904
20,50,5,88.5417,76.1574,87.6157,82.5231,1900,4501,1931,2675
20,50,6,90.162,79.8611,90.162,82.5231,2156,3406,1797,2876
20,50,7,91.5509,81.4815,91.5509,78.8194,2060,3705,1988,2924
20,50,8,89.0046,79.6296,91.3194,72.1065,2077,4034,2611,4422
20,50,9,91.088,78.4722,90.625,80.0926,2107,2841,2101,2921
20,50,10,89.8148,82.1759,89.8148,83.1019,2016,4170,1874,6318
20,50,11,90.9722,76.0417,90.9722,83.1019,2058,3749,1908,2598
20,50,12,93.287,84.375,92.7083,79.1667,2005,3657,1791,2924
20,50,13,90.9722,79.5139,92.8241,79.2824,2816,3225,2678,3740
20,50,14,88.4259,80.9028,88.4259,82.8704,2026,2565,2527,2728
20,50,15,88.6574,81.8287,88.6574,77.7778,2992,2985,2114,4003
20,50,16,88.0787,85.3009,89.8148,74.4213,1752,3665,2028,2581
20,50,17,91.8981,78.4722,91.8981,85.1852,2110,4419,2910,2356
20,50,18,90.3935,81.4815,89.9306,86.3426,2116,2910,1948,2577
20,50,19,88.8889,78.9352,89.0046,80.6713,2808,3169,2090,3250
20,50,20,91.088,85.5324,91.4352,76.8519,2005,2951,2319,3215
20,60,1,91.3295,82.0809,90.1734,81.0694,3102,4261,2579,3363
20,60,2,91.3295,80.2023,91.3295,76.8786,2283,4828,2173,3620
20,60,3,90.1734,83.0925,91.6185,83.815,3433,3795,2398,4215
20,60,4,92.9191,79.1908,92.9191,81.6474,3275,3998,3220,3581
20,60,5,90.0289,81.2139,90.0289,79.3353,2336,3645,2575,3316
20,60,6,91.763,81.5029,91.6185,82.948,3048,4920,2180,3485
20,60,7,91.3295,83.815,91.185,82.5145,2166,3345,3173,3489
20,60,8,91.0405,83.3815,91.0405,83.526,2382,4622,3091,3051
20,60,9,91.6185,79.1908,91.6185,82.3699,2146,3769,2158,3930
20,60,10,89.4509,78.3237,89.4509,83.526,2802,4689,2240,3178
20,60,11,91.474,81.6474,91.474,86.2717,2495,3574,3067,4232
20,60,12,90.3179,82.659,90.3179,84.9711,2334,3514,2182,3594
20,60,13,91.9075,80.6358,91.9075,84.5376,2173,3293,2048,4154
20,60,14,92.6301,80.7803,91.6185,80.2023,2318,4786,2163,4579
20,60,15,92.052,85.4046,92.052,79.3353,2259,3033,2487,5499
20,60,16,90.3179,86.2717,90.3179,85.9827,2451,4620,3118,4311
20,60,17,91.6185,79.1908,91.6185,81.7919,2151,3644,2401,4258
20,60,18,92.1965,82.948,92.341,85.5491,3076,3830,3124,3938
20,60,19,91.474,80.3468,91.474,78.7572,2361,3995,2063,3927
20,60,20,94.2197,82.948,94.2197,83.9595,2465,5406,3047,4377
20,70,1,92.8709,83.4297,93.6416,80.5395,3275,3740,2404,5283
20,70,2,92.1002,84.9711,92.1002,82.4663,2970,3882,3552,5011
20,70,3,92.8709,79.3834,92.2929,81.1175,2646,5868,2777,4209
20,70,4,93.4489,80.1541,93.4489,77.4566,3579,5502,2556,4244
20,70,5,92.4855,78.0347,91.9075,80.7322,2968,4779,2648,4273
20,70,6,93.2563,76.8786,93.2563,75.9152,3233,4302,2546,4069
20,70,7,90.1734,82.2736,91.5222,78.8054,2589,4488,4138,3580
20,70,8,92.2929,80.7322,92.2929,80.5395,2487,5694,2535,3408
20,70,9,93.2563,85.3565,93.2563,79.7688,2528,3276,2582,3459
20,70,10,90.7514,77.264,90.7514,81.1175,3076,5045,2724,5492
20,70,11,94.4123,83.815,94.027,86.1272,2552,4122,3536,3498
20,70,12,92.4855,83.6224,92.4855,82.0809,2658,4173,3644,3697
20,70,13,93.8343,82.4663,93.8343,79.5761,2796,4284,3543,4231
20,70,14,90.5588,83.6224,91.9075,79.1908,3814,4190,3598,4940
20,70,15,92.6782,83.237,93.2563,79.1908,3900,3666,2341,4241
20,70,16,92.2929,81.3102,92.8709,79.7688,3901,4132,2644,3331
20,70,17,93.6416,82.8516,93.6416,83.0443,2587,3693,2791,4974
20,70,18,93.0636,84.7784,93.0636,80.1541,2807,4052,3639,3697
20,70,19,93.0636,86.1272,93.0636,84.3931,2661,4583,3587,3541
20,70,20,92.1002,79.9615,93.2563,76.6859,2539,8134,3602,3897
20,80,1,94.7977,78.9017,94.7977,80.3468,3508,5182,3467,5664
20,80,2,91.9075,81.7919,91.9075,80.3468,4001,5080,4008,3986
20,80,3,94.7977,84.104,94.7977,81.2139,2796,6535,2948,3806
20,80,4,92.1965,84.104,92.1965,87.2832,5153,6348,2997,3721
20,80,5,93.6416,81.5029,94.7977,83.237,2787,6059,3401,3572
20,80,6,92.7746,86.7052,92.7746,81.2139,3212,4536,4157,6145
20,80,7,90.4624,82.948,89.8844,82.0809,3037,5551,3061,3623
20,80,8,93.9306,81.2139,93.3526,82.3699,2840,6438,2870,5498
20,80,9,93.3526,84.6821,94.7977,78.6127,4376,4863,2814,3888
20,80,10,93.6416,84.104,93.6416,79.7688,3040,6413,2705,4801
20,80,11,92.7746,76.8786,92.7746,80.3468,2939,5268,4054,5096
20,80,12,93.6416,82.659,93.6416,79.1908,2943,4411,3130,4708
20,80,13,94.5087,84.104,94.5087,78.3237,2907,5941,2861,4253
20,80,14,95.3757,83.237,94.2197,83.815,2880,6243,4041,4222
20,80,15,93.0636,79.1908,93.9306,81.5029,4236,6510,2841,8080
20,80,16,93.0636,82.3699,93.0636,87.2832,4095,5275,3079,4149
20,80,17,93.9306,85.2601,94.2197,81.5029,3073,6113,4190,4307
20,80,18,92.7746,79.4798,92.7746,79.7688,2912,5658,3460,6638
20,80,19,91.9075,77.4566,93.0636,79.4798,2818,5437,4031,6929
20,80,20,94.2197,84.3931,94.2197,75.1445,3306,6567,2897,4843
20,90,1,94.2197,82.0809,94.2197,80.9249,5533,7108,3549,5679
20,90,2,93.0636,79.1908,93.0636,79.7688,4125,6477,6053,8441
20,90,3,94.2197,75.7225,94.2197,82.659,3912,7225,4494,8316
20,90,4,94.7977,83.815,94.7977,80.9249,3167,6627,4207,6692
20,90,5,93.6416,79.1908,93.0636,75.7225,3281,7534,5944,3924
20,90,6,91.9075,82.659,91.9075,84.3931,3492,7107,4606,5845
20,90,7,94.2197,83.815,94.2197,80.3468,3355,7080,4527,6021
20,90,8,94.2197,79.7688,94.2197,83.815,4454,5719,4081,5360
20,90,9,94.2197,84.3931,91.9075,84.3931,3592,5264,4484,4623
20,90,10,93.6416,84.3931,93.6416,80.9249,3376,6680,3388,6977
20,90,11,90.7514,84.9711,92.4855,83.815,3402,6824,3194,4695
20,90,12,95.3757,87.2832,95.3757,79.1908,3469,6505,3211,4394
20,90,13,93.6416,83.815,93.6416,81.5029,4629,7876,3216,5625
20,90,14,92.4855,81.5029,91.9075,82.659,3401,6388,4062,4057
20,90,15,95.9538,87.2832,94.7977,88.4393,4939,6947,4560,5394
20,90,16,92.4855,74.5665,92.4855,81.5029,3519,4500,3061,4485
20,90,17,93.0636,79.7688,93.0636,84.9711,3197,5648,3599,6100
20,90,18,93.6416,83.815,93.6416,76.3006,3770,7644,4015,4656
20,90,19,95.9538,80.9249,95.9538,83.815,3199,5606,4528,4743
20,90,20,93.0636,82.0809,93.0636,81.5029,3521,5271,3219,4274
