Graph File,Graph Name,Version,Heuristic,Best Cost,Avg Cost,Worst Cost,Best Time (µs),Avg Time (µs),Worst Time (µs)
a280,drilling problem (Ludwig),Greedy,NN,3070.549,3340.311,3657.824,1482.474,1678.279,3686.920
a280,drilling problem (Ludwig),Greedy,NN+NSh,2776.420,3004.179,3288.353,5824.450,14285.629,42133.216
a280,drilling problem (Ludwig),Greedy,NN+2opt,2654.794,2764.080,2886.714,13247.971,21923.913,61273.057
a280,drilling problem (Ludwig),Greedy,NN+2.5opt,2639.866,2763.158,2937.232,33733.960,77732.353,369608.978
a280,drilling problem (Ludwig),Greedy,FI,3003.223,3003.223,3003.223,4582.504,4582.504,4582.504
a280,drilling problem (Ludwig),Greedy,FI+NSh,2901.708,2901.708,2901.708,9386.589,9386.589,9386.589
a280,drilling problem (Ludwig),Greedy,FI+2opt,2858.258,2858.258,2858.258,18481.686,18481.686,18481.686
a280,drilling problem (Ludwig),Greedy,FI+2.5opt,2854.979,2854.979,2854.979,41101.691,41101.691,41101.691
a280,drilling problem (Ludwig),Greedy,MST,3396.692,3518.212,3611.210,1249.260,1596.625,6475.755
a280,drilling problem (Ludwig),Greedy,MST+NSh,2885.708,3006.380,3154.010,8690.763,17908.596,59141.645
a280,drilling problem (Ludwig),Greedy,MST+2opt,2707.563,2783.675,2866.662,17427.872,26453.522,57976.734
a280,drilling problem (Ludwig),Greedy,MST+2.5opt,2642.366,2775.335,2969.164,48853.497,106196.900,227379.647
a280,drilling problem (Ludwig),Semi-Greedy 3,NN,4868.174,5456.763,6042.529,2432.749,2734.936,5294.135
a280,drilling problem (Ludwig),Semi-Greedy 3,NN+NSh,2951.585,3331.177,3759.841,10662.311,21951.612,47626.934
a280,drilling problem (Ludwig),Semi-Greedy 3,NN+2opt,2740.480,2902.434,3082.792,55276.492,70502.776,86631.185
a280,drilling problem (Ludwig),Semi-Greedy 3,NN+2.5opt,2642.349,2820.646,2968.471,115422.920,216675.614,325398.604
a280,drilling problem (Ludwig),Semi-Greedy 3,FI,2992.918,2992.918,2992.918,7445.949,7445.949,7445.949
a280,drilling problem (Ludwig),Semi-Greedy 3,FI+NSh,2868.422,2868.422,2868.422,9499.857,9499.857,9499.857
a280,drilling problem (Ludwig),Semi-Greedy 3,FI+2opt,2878.965,2878.965,2878.965,3402.659,3402.659,3402.659
a280,drilling problem (Ludwig),Semi-Greedy 3,FI+2.5opt,2834.067,2834.067,2834.067,15216.089,15216.089,15216.089
a280,drilling problem (Ludwig),Semi-Greedy 3,MST,3396.692,3518.212,3611.210,1126.590,1440.307,10865.593
a280,drilling problem (Ludwig),Semi-Greedy 3,MST+NSh,2885.708,3006.380,3154.010,8465.972,15473.275,30314.527
a280,drilling problem (Ludwig),Semi-Greedy 3,MST+2opt,2707.563,2783.675,2866.662,17450.085,25426.086,34544.059
a280,drilling problem (Ludwig),Semi-Greedy 3,MST+2.5opt,2642.366,2775.335,2969.164,48990.245,95513.922,233942.396
a280,drilling problem (Ludwig),Semi-Greedy 5,NN,6252.056,6947.176,7707.174,2418.771,2730.683,9619.849
a280,drilling problem (Ludwig),Semi-Greedy 5,NN+NSh,3102.062,3476.296,4122.873,13010.794,25583.092,59237.135
a280,drilling problem (Ludwig),Semi-Greedy 5,NN+2opt,2744.766,2903.158,3053.517,78280.017,96046.702,248420.910
a280,drilling problem (Ludwig),Semi-Greedy 5,NN+2.5opt,2656.312,2820.557,2952.944,152612.252,314594.374,701304.649
a280,drilling problem (Ludwig),Semi-Greedy 5,FI,3009.139,3009.139,3009.139,4808.182,4808.182,4808.182
a280,drilling problem (Ludwig),Semi-Greedy 5,FI+NSh,2851.312,2851.312,2851.312,14414.110,14414.110,14414.110
a280,drilling problem (Ludwig),Semi-Greedy 5,FI+2opt,2845.241,2845.241,2845.241,7910.043,7910.043,7910.043
a280,drilling problem (Ludwig),Semi-Greedy 5,FI+2.5opt,2875.317,2875.317,2875.317,17296.988,17296.988,17296.988
a280,drilling problem (Ludwig),Semi-Greedy 5,MST,3396.692,3518.212,3611.210,1122.465,1373.091,3156.702
a280,drilling problem (Ludwig),Semi-Greedy 5,MST+NSh,2885.708,3006.380,3154.010,8223.681,15503.077,33605.144
a280,drilling problem (Ludwig),Semi-Greedy 5,MST+2opt,2707.563,2783.675,2866.662,18206.497,25441.246,51923.050
a280,drilling problem (Ludwig),Semi-Greedy 5,MST+2.5opt,2642.366,2775.335,2969.164,53896.811,95792.181,243166.211
berlin52,52 locations in Berlin (Groetschel),Greedy,NN,8182.192,9373.434,10299.371,46.203,70.416,174.437
berlin52,52 locations in Berlin (Groetschel),Greedy,NN+NSh,7895.578,8361.447,8904.382,139.744,339.427,665.858
berlin52,52 locations in Berlin (Groetschel),Greedy,NN+2opt,7658.958,7877.045,8076.416,98.238,199.180,302.583
berlin52,52 locations in Berlin (Groetschel),Greedy,NN+2.5opt,7669.620,7994.977,8533.539,222.900,469.275,951.472
berlin52,52 locations in Berlin (Groetschel),Greedy,FI,8120.634,8120.634,8120.634,79.306,79.306,79.306
berlin52,52 locations in Berlin (Groetschel),Greedy,FI+NSh,7905.874,7905.874,7905.874,94.936,94.936,94.936
berlin52,52 locations in Berlin (Groetschel),Greedy,FI+2opt,7701.456,7701.456,7701.456,105.904,105.904,105.904
berlin52,52 locations in Berlin (Groetschel),Greedy,FI+2.5opt,7658.958,7658.958,7658.958,225.904,225.904,225.904
berlin52,52 locations in Berlin (Groetschel),Greedy,MST,9193.879,10252.081,10597.251,24.714,31.848,59.049
berlin52,52 locations in Berlin (Groetschel),Greedy,MST+NSh,7993.722,8217.540,8482.513,303.471,480.249,833.604
berlin52,52 locations in Berlin (Groetschel),Greedy,MST+2opt,7625.395,7756.234,8231.933,201.942,252.397,321.269
berlin52,52 locations in Berlin (Groetschel),Greedy,MST+2.5opt,7544.366,8077.070,8583.862,278.301,652.959,1543.901
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,NN,11617.093,14307.489,17721.023,209.948,224.428,405.976
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,NN+NSh,7826.443,8745.905,10267.476,257.883,469.134,945.423
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,NN+2opt,7544.366,8109.536,8650.490,342.367,464.953,605.778
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,NN+2.5opt,7544.366,8047.584,8448.144,577.108,1289.922,2389.103
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,FI,8189.105,8189.105,8189.105,329.096,329.096,329.096
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,FI+NSh,7990.988,7990.988,7990.988,143.436,143.436,143.436
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,FI+2opt,7829.883,7829.883,7829.883,62.076,62.076,62.076
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,FI+2.5opt,8020.769,8020.769,8020.769,279.343,279.343,279.343
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,MST,9193.879,10252.081,10597.251,24.994,31.252,81.786
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,MST+NSh,7993.722,8217.540,8482.513,300.544,477.913,1211.905
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,MST+2opt,7625.395,7756.234,8231.933,231.384,300.942,430.531
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 3,MST+2.5opt,7544.366,8077.070,8583.862,322.564,623.854,1259.596
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,NN,13129.957,17178.899,20959.376,209.424,232.341,278.323
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,NN+NSh,8023.375,8824.525,9563.129,283.176,537.287,1006.889
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,NN+2opt,7544.366,8133.550,8713.159,475.159,595.461,810.201
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,NN+2.5opt,7729.501,8114.971,8551.040,816.859,1485.636,3407.754
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,FI,8022.747,8022.747,8022.747,331.517,331.517,331.517
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,FI+NSh,7809.874,7809.874,7809.874,330.027,330.027,330.027
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,FI+2opt,8318.493,8318.493,8318.493,46.866,46.866,46.866
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,FI+2.5opt,8028.609,8028.609,8028.609,131.117,131.117,131.117
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,MST,9193.879,10252.081,10597.251,32.730,36.213,86.607
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,MST+NSh,7993.722,8217.540,8482.513,301.560,407.761,670.573
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,MST+2opt,7625.395,7756.234,8231.933,207.184,280.104,475.642
berlin52,52 locations in Berlin (Groetschel),Semi-Greedy 5,MST+2.5opt,7544.366,8077.070,8583.862,334.976,595.726,1002.845
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,NN,132999.906,145555.301,163246.681,295.814,333.862,482.843
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,NN+NSh,122782.631,131454.880,141451.420,922.130,2279.288,5136.400
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,NN+2opt,119658.124,122593.987,127097.130,1551.683,2618.939,5010.019
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,NN+2.5opt,119040.424,124174.343,129788.500,2574.442,7388.983,13932.406
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,FI,127273.688,127273.688,127273.688,1069.223,1069.223,1069.223
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,FI+NSh,122866.711,122866.711,122866.711,2249.713,2249.713,2249.713
