Graph File,Graph Name,Version,Heuristic,Best Cost,Avg Cost,Worst Cost,Best Time (µs),Avg Time (µs),Worst Time (µs)
lin318,318-city problem (Lin/Kernighan),Greedy,Nearest Neighbour,49215.613,52567.330,58862.763,2016.758,2243.945,3634.041
lin318,318-city problem (Lin/Kernighan),Greedy,Nearest Neighbour+NodeShift,46061.046,47948.402,51686.608,10907.906,14673.882,26613.507
lin318,318-city problem (Lin/Kernighan),Greedy,Farthest Insertion,45875.349,45875.349,45875.349,6517.235,6517.235,6517.235
lin318,318-city problem (Lin/Kernighan),Greedy,Farthest Insertion+NodeShift,44603.489,140.263,44603.489,6705.530,21.087,6705.530
lin318,318-city problem (Lin/Kernighan),Greedy,Minimum Spanning Tree,57824.242,59739.123,60989.051,2028.093,2274.714,3337.791
lin318,318-city problem (Lin/Kernighan),Greedy,Minimum Spanning Tree+NodeShift,47160.420,49955.994,51474.912,10582.935,17381.886,43755.023
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 3,Nearest Neighbour,81600.282,91777.975,105807.769,3092.709,3502.336,15353.752
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 3,Nearest Neighbour+NodeShift,49077.872,56202.085,61790.904,16692.160,28588.935,82718.381
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 3,Farthest Insertion,45041.439,45041.439,45041.439,4520.489,4520.489,4520.489
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 3,Farthest Insertion+NodeShift,44735.098,140.676,44735.098,5737.467,18.042,5737.467
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 3,Minimum Spanning Tree,57824.242,59739.123,60989.051,2021.223,2220.504,3436.075
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 3,Minimum Spanning Tree+NodeShift,47160.420,49955.994,51474.912,10680.705,17247.937,37845.711
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 5,Nearest Neighbour,104667.884,117799.423,135882.244,3109.517,3435.057,5276.883
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 5,Nearest Neighbour+NodeShift,53645.799,59681.042,68026.169,20138.848,36925.164,92623.638
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 5,Farthest Insertion,46687.357,46687.357,46687.357,4506.650,4506.650,4506.650
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 5,Farthest Insertion+NodeShift,45935.489,144.451,45935.489,8411.882,26.452,8411.882
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 5,Minimum Spanning Tree,57824.242,59739.123,60989.051,2020.695,2215.120,4056.529
lin318,318-city problem (Lin/Kernighan),Semi-Greedy 5,Minimum Spanning Tree+NodeShift,47160.420,49955.994,51474.912,10661.527,17118.988,40847.285
